Metro Area,Est. 2019 Population,Average Annual Salary,ZORI 2020-06,Avg Annual Rainfall,Lowest Monthly Avg High Temp,Highest Monthly Avg High Temp,Violent Crime Rate,Property Crime Rate,U.S. News Overall Score,U.S. News State Overall Rank,Nomad Score 2019-12-21T17:00Z,Nomad Score 2020-06-14T06:30Z,Nomad Score 2020-06-14T19:11Z,Nomad Score 2020-08-16T06:48Z,Nomad Score 2020-08-16T19:13Z,Data Scientist Job Postings
"Seattle, WA","3,979,845","63,120","1,983",37.5,46,76,353.7,1963.6,7.2,1,3.15,3.71,3.74,3.73,3.69,141
"Austin, TX","2,227,083","51,840","1,565",32.2,62,96,306.3,2343.4,7.6,38,3.73,3.97,3.93,4.06,4.07,36
"Salt Lake City, UT","1,232,696","47,272","1,361",16.1,37,93,257,3075,6.9,4,3.46,3.68,3.77,3.61,3.68,18
"Spokane, WA","568,521","47,320","1,126",16.6,32,83,322.1,4471.7,6.5,1,3.43,3.58,3.61,3.64,3.61,0
"Minneapolis-St. Paul, MN","3,654,908","56,030","1,565",30.6,24,83,283,2404.2,7.3,3,2.86,3.72,3.7,3.59,3.63,34
"Denver, CO","2,967,239","57,400","1,751",14.3,43,89,413.9,1600.9,7.4,10,3.16,3.63,3.63,3.56,3.52,42
"Colorado Springs, CO","745,791","50,050","1,567",16.5,42,85,431.8,2612.3,7.4,10,3.13,3.52,3.51,3.44,3.46,6
"Boston, MA","4,873,019","65,420","2,601",43.8,36,81,305.3,1291,6.9,8,3.09,3.7,3.74,3.71,3.64,141
"Des Moines, IA","699,292","50,600","1,062",36,31,86,370.8,2452.3,7.3,14,3.18,3.55,3.58,3.5,3.5,4
"Boise, ID","749,202","43,880","1,286",11.7,38,91,235,1761.9,7.1,16,3.41,3.58,3.59,3.44,3.47,1
"Portland, OR","2,492,412","55,330","1,630",36,46,81,283.2,1877.9,7.2,27,3.42,3.82,3.87,3.48,3.52,17
"Raleigh-Durham, NC","1,390,785","53,788","1,431",43.3,51,90,227,1860,7.2,18,3.22,3.62,3.61,3.55,3.58,16
"Madison, WI","664,865","52,190","1,309",34.5,26,82,228.6,1826,7.1,11,2.96,3.7,3.68,3.58,3.62,8
"Melbourne, FL","601,942","48,240","1,466",52,71,91,460.6,2430.6,6.9,13,3.29,3.55,3.53,3.58,3.57,3
"Atlanta, GA","6,020,364","51,390","1,537",49.7,52,89,367.6,2828,6.6,17,3.41,3.77,3.72,3.81,3.82,46
"Kansas City, MO","2,157,990","49,460","1,148",38.9,38,88,596.7,2727.9,6.7,28,3.52,3.81,3.79,3.85,3.84,9
"Charlotte, NC","2,636,883","50,150","1,461",41.6,51,89,416.2,2731.9,7,18,3.27,3.56,3.61,3.49,3.58,13
"Tampa, FL","3,194,831","46,080","1,527",46.3,70,90,333.1,2101.6,6.6,13,3.25,3.65,3.63,3.83,3.83,15
"Richmond, VA","1,291,900","49,840","1,286",43.6,47,90,244.7,2232.6,6.7,7,3.21,3.53,3.5,3.39,3.45,8
"Manchester, NH","417,025","52,640",,,,,265.8,1387.2,6.7,2,2.82,3.51,3.5,3.33,3.36,4
"Fayetteville, AR","534,904","45,830",,47.9,45,89,375.9,2361.7,7.3,45,,,,,,5
"Albany, NY","880,381","52,770","1,285",39.4,31,82,291.2,1954.7,6.9,25,,,,,,1
"San Francisco, CA","4,731,803","69,700","3,134",20.7,56,74,476.6,2199.8,7.3,19,2.89,3.5,3.51,3.51,3.39,190
"Greensboro, NC","771,851","43,310","1,201",42.2,48,88,469.5,2881.4,6.5,18,3.36,3.69,3.64,3.62,3.65,3
"Orlando, FL","2,608,147","44,410","1,565",50.7,71,92,443.8,2771.8,6.5,13,3.18,3.67,3.66,3.63,3.53,3
"Omaha, NE","949,442","47,660","1,137",30.6,33,87,384.5,2750.3,6.8,9,3,3.33,3.37,3.51,3.53,3
"Dallas-Fort Worth, TX","7,573,136","51,250","1,548",36.1,56,96,369.3,1357.4,7,38,3.48,3.65,3.62,3.6,3.66,42
"Asheville, NC","462,680","41,210",,45.6,47,84,232.2,2106.2,7.1,18,2.98,3.49,3.45,3.39,3.41,0
"Lakeland, FL","724,777","40,560","1,383",52.2,74,94,285.1,1960.1,6.6,13,,,,,,1
"Jacksonville, FL","1,559,514","45,760","1,380",49.2,65,91,480.8,2777.6,6.7,13,2.88,3.61,3.61,3.65,3.59,3
"Buffalo, NY","1,127,983","48,180","1,040",40.5,31,80,375.7,2185.8,6.7,25,3.28,3.68,3.68,3.52,3.51,3
"San Diego, CA","3,338,330","56,410","2,311",10.3,65,76,337.1,1695.5,6.8,19,2.87,3.68,3.57,3.75,3.72,29
"Nashville, TN","1,934,317","47,110","1,608",47.3,47,89,624.9,2558.6,7.1,30,3.23,3.51,3.5,3.38,3.39,11
"Winston-Salem, NC","676,008","44,910","1,213",46.9,49,89,410.7,3179.6,6.8,18,3.07,3.52,3.47,3.46,3.49,1
"Syracuse, NY","648,593","49,850","1,052",38.5,32,82,267.8,2051.7,6.7,25,3.28,3.59,3.6,3.51,3.54,2
"San Antonio, TX","2,550,960","46,200","1,306",32.3,63,96,523.9,3028.2,6.8,38,3.46,3.6,3.59,3.72,3.72,21
"Phoenix, AZ","4,948,203","49,500","1,466",8,66,106,470.6,2814.5,6.9,34,3.41,3.46,3.46,3.54,3.52,15
"Sacramento, CA","2,363,730","55,010","1,802",21.2,53,93,387.2,2249.3,6.3,19,3.36,3.65,3.64,3.53,3.52,6
"Sarasota, FL","836,995","42,680","1,728",53,71,90,354,1783.1,7,13,2.93,3.24,3.23,3.25,3.25,1
"Rochester, NY","1,069,644","49,570","1,089",34.3,32,81,283,1922.6,6.6,25,3.25,3.54,3.56,3.55,3.51,2
"Santa Rosa, CA","494,336","53,890",,36.3,56,83,400.5,1500.4,6.5,19,3.18,3.51,3.53,3.53,3.5,0
"Port St. Lucie, FL","489,297","42,500","1,652",,,,233.6,1681.7,6.4,13,3.19,3.44,3.43,3.39,3.38,0
"Chicago, IL","9,458,539","54,160","1,727",36.9,31,84,326.6,1979.3,6.1,35,3.56,3.81,3.81,3.88,4.02,99
"Fort Wayne, IN","413,263","43,590",,,,,283.5,1946.7,6.7,36,3.36,3.68,3.71,3.48,3.55,0
"Worcester, MA","947,404","53,110","1,440",48.1,31,79,360.2,1276.7,6.5,8,2.91,3.42,3.4,3.27,3.34,8
"San Jose, CA","1,990,660","77,180","3,083",14.9,60,83,308.8,2275.1,7.1,19,2.6,3.5,3.5,3.41,3.46,200
"Springfield, MA","697,382","50,930","1,387",48.4,33,83,503.8,2138.1,6.3,8,,,,,,16
"Pensacola, FL","502,629","41,200",,,,,406.2,2449,6.7,13,3.06,3.36,3.3,3.16,3.15,0
"Grand Rapids, MI","1,077,370","44,770","1,201",38.3,31,83,324,1510.3,7.1,33,3.02,3.51,3.51,3.35,3.43,0
"New York City, NY","19,216,182","63,079","2,626",49.9,38,84,329,1337,6.3,25,2.94,3.91,3.89,3.82,3.81,214
"Los Angeles, CA","13,214,799","53,803","2,500",12.8,64,75,458,2363,6.1,19,3.26,3.81,3.77,3.32,3.53,68
"Augusta, GA",,,"1,097",,,,,0,6.5,17,3.06,3.39,3.42,3.38,3.44,3
"Chattanooga, TN",,,"1,165",52.5,50,90,557.3,3394.1,6.6,30,3.27,3.55,3.46,3.44,3.43,1
"Virginia Beach, VA",,,"1,332",,,,,0,6.1,7,3.23,3.2,3.22,3.24,3.24,9
"Tucson, AZ",,,"1,218",,,,,0,6.4,34,3.3,3.48,3.49,3.81,3.86,1
"Pittsburgh, PA",,,"1,145",,,,,0,6.7,41,3.48,3.28,3.24,3.82,3.74,20
"Las Vegas, NV",,,"1,424",,,,,0,6.5,37,3.27,3.67,3.66,3.63,3.55,0
"Fort Myers, FL",,,"1,475",,,,,0,6.8,13,3.02,3.04,3.06,3,3.03,1
"Columbus, OH","2,122,271","50,020","1,263",39.3,36,85,290.7,2749.3,6.7,39,3.15,3.63,3.66,3.6,3.61,30
"Miami, FL","6,166,488","46,860","1,924",61.9,76,91,458.2,3076.4,5.8,13,3.16,3.62,3.6,3.59,3.58,11
"Lexington-Fayette, KY",,,,,,,273.2,2377.6,6.9,40,3.26,3.42,3.41,3.4,3.44,1
"Wichita, KS",,,843,,,,,0,6.4,22,3.18,3.38,3.35,3.37,3.45,5
"New Haven, CT",,,"1,425",,,,,0,6.2,21,3.1,3.62,3.58,3.5,3.49,2
"Milwaukee, WI","1,575,179","50,070","1,076",34.8,29,80,680.5,2545.9,6.5,11,2.84,3.37,3.36,3.02,3.14,3
"Reno, NV",,,,,,,,0,6.8,37,3.1,3.57,3.6,3.32,3.33,2
"Lansing, MI",,,,,,,,0,6.7,33,3.07,3.47,3.47,3.4,3.41,0
"Lancaster, PA",,,,,,,,0,6.7,41,,,,,,8
"Harrisburg, PA",,,"1,114",,,,,0,6.7,41,,,,,,0
"Cleveland, OH",,,"1,042",,,,,0,6.3,39,3.35,3.64,3.67,3.61,3.64,8
"Detroit, MI",,,"1,164",,,,,0,6.3,33,3.26,3.59,3.52,3.54,3.51,14
"Knoxville, TN",,,"1,244",,,,,0,6.7,30,3.47,2.87,2.82,3.26,3.27,6
"Cincinnati, OH",,,"1,183",,,,,0,6.7,39,3.26,3.35,3.37,3.38,3.37,16
"Indianapolis, IN",,,"1,162",,,,,0,6.7,36,2.99,3.46,3.5,3.43,3.48,6
"Daytona Beach, FL",,,"1,445",,,,,0,6.1,13,3.06,3.29,3.28,3.29,3.28,0
"Greenville, SC",,,"1,190",,,,,0,7,42,3.09,3.35,3.35,3.35,3.37,1
"Houston, TX",,,"1,480",,,,,0,6.8,38,3.04,3.36,3.32,3.32,3.45,23
"Hartford, CT",,,"1,382",,,,,0,6.7,21,2.74,3.3,3.28,3.19,3.17,16
"St. Louis, MO",,,"1,075",,,,,0,6.3,28,2.96,3.62,3.59,3.35,3.46,25
"Beaumont, TX",,,,,,,,0,6,38,3.51,3.66,3.53,3.48,3.6,0
"Tulsa, OK",,,"1,081",,,,,0,6.3,43,3.53,3.54,3.51,3.41,3.55,1
"Brownsville, TX",,,,,,,,0,5.7,38,3.58,3.72,3.71,3.69,3.69,0
"Washington, DC",,,"2,066",,,,,0,7,,2.68,3.32,3.31,3.2,3.25,582
"Baltimore, MD",,,"1,614",,,,,0,6.1,6,2.6,3.24,3.3,3.22,3.23,94
"Springfield, MO",,,,,,,,0,6.3,28,,,,,,0
"Little Rock, AR",,,907,,,,,0,6.3,45,3.52,3.47,3.53,3.48,3.55,1
"Corpus Christi, TX",,,,,,,,0,6.1,38,3.35,3.53,3.5,3.46,3.46,0
"Oklahoma City, OK",,,"1,058",,,,,0,6.5,43,3.19,3.51,3.46,3.41,3.48,4
"Columbia, SC",,,"1,169",,,,,0,6.5,42,,,,,,0
"Toledo, OH",,,882,,,,,0,6.2,39,3.12,3.59,3.63,3.53,3.49,0
"Stockton, CA",,,"1,854",,,,,0,5.4,19,3.32,3.56,3.56,3.43,3.42,0
"Dayton, OH",,,970,,,,,0,6.5,39,3.05,3.39,3.41,3.32,3.4,5
"McAllen, TX",,,,,,,,0,5.9,38,3.52,3.4,3.45,3.44,3.45,0
"Killeen, TX",,,,,,,,0,6.1,38,3.22,3.47,3.49,3.48,3.54,0
"Bakersfield, CA",,,"1,231",,,,,0,5.3,19,3.26,3.64,3.65,3.45,3.38,0
"Salem, OR",,,,,,,,0,6.4,27,2.81,3.3,3.34,3.18,3.22,0
"Modesto, CA",,,,,,,,0,5.5,19,3.2,3.48,3.48,3.25,3.37,0
"Myrtle Beach, SC",,,,,,,,0,6.4,42,,,,,,0
"Fresno, CA",,,"1,447",,,,,0,5.5,19,3.19,3.49,3.5,3.27,3.3,1
"Albuquerque, NM",,,"1,130",,,,,0,6.1,46,3.28,3.58,3.59,3.53,3.63,1
"Louisville, KY",,,"1,036",,,,,0,6.5,40,2.67,3.58,3.6,3.44,3.37,9
"Scranton, PA",,,913,,,,,0,6.2,41,3.19,3.4,3.42,3.32,3.34,0
"Birmingham, AL",,,"1,142",,,,,0,6.3,49,3.35,3.67,3.63,3.54,3.53,4
"Honolulu, HI",,,"2,116",,,,,0,6.6,24,2.57,2.98,2.98,3.31,3.18,5
"York, PA",,,,,,,,0,6.3,41,,,,,,8
"Portland, ME",,,"1,630",,,,,0,7,32,2.46,3.18,3.12,2.98,2.97,0
"Memphis, TN",,,"1,279",,,,,0,5.6,30,3.14,3.41,3.48,3.44,3.46,4
"Allentown, PA",,,"1,349",,,,,0,6.2,41,2.94,3.47,3.49,3.38,3.39,1
"Huntsville, AL",,,,,,,,0,7.1,49,2.9,3.24,3.21,3.21,3.13,7
"El Paso, TX",,,"1,139",,,,,0,6,38,,,,,,0
"Youngstown, OH",,,706,,,,,0,6.2,39,3.01,3.13,3.14,3.05,3,0
"Anchorage, AK",,,,,,,,0,6.5,44,2.88,3.12,3.14,3.05,3.11,0
"Charleston, SC",,,"1,541",,,,,0,6.7,42,2.57,2.93,2.96,3.33,3.32,0
"Santa Barbara, CA",,,,,,,,0,6.5,19,2.32,2.94,2.87,2.83,2.77,1
"Flint, MI",,,,,,,,0,5.7,33,2.86,3.33,3.32,3.27,3.21,0
"Salinas, CA",,,,,,,,0,5.6,19,,,,,,2
"Mobile, AL",,,,,,,,0,5.5,49,3.44,3.59,3.57,3.47,3.52,1
"Lafayette, LA",,,,,,,,0,6.2,50,3.16,3.32,3.33,3.28,3.36,0
"New Orleans, LA",,,"1,398",,,,,0,5.7,50,3.21,3.54,3.56,3.68,3.65,0
"Providence, RI",,,"1,602",,,,,0,6.3,26,2.34,2.92,2.94,2.82,2.83,6
"Philadelphia, PA",,,"1,569",,,,,0,6.1,41,2.59,3.02,3.06,3.37,3.43,51
"Reading, PA",,,,,,,,0,6.3,41,2.48,3.17,3.18,3.06,3.04,2
"Shreveport, LA",,,,,,,,0,5.4,50,3.44,3.44,3.46,3.44,3.36,0
"Jackson, MS",,,"1,161",,,,,0,5.9,48,,,,,,0
"Baton Rouge, LA",,,"1,191",,,,,0,6,50,2.15,2.73,2.76,2.73,2.74,1
"San Juan, PR",,,,,,,,0,3.2,,2.88,3.36,3.35,3.41,3.39,0
